basename,max_tensor_diff,mean_tensor_diff,max_prob_diff,argmax_tf,argmax_pil,argmax_nb04,agree_pil_tf,agree_pil_nb04
PublicTest_10116449.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_10813312.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_11521746.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_11832974.jpg,0.0,0.0,0.0,5,5,5,1,1
PublicTest_12296139.jpg,0.0,0.0,0.0,5,5,5,1,1
PublicTest_12326319.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_12693575.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_12700974.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_12751829.jpg,0.0,0.0,0.0,5,5,5,1,1
PublicTest_12871755.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_12919755.jpg,0.0,0.0,0.0,2,2,2,1,1
PublicTest_1355981.jpg,0.0,0.0,0.0,1,1,1,1,1
PublicTest_13591263.jpg,0.0,0.0,0.0,5,5,5,1,1
PublicTest_1373732.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_13953782.jpg,0.0,0.0,0.0,3,3,3,1,1
PublicTest_14075653.jpg,0.0,0.0,0.0,5,5,5,1,1
PublicTest_1419488.jpg,0.0,0.0,0.0,4,4,4,1,1
PublicTest_14387765.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_14388186.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_14561390.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_1460129.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_1463394.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_14798104.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_15140838.jpg,0.0,0.0,0.0,6,6,6,1,1
PublicTest_15411158.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_16131911.jpg,0.0,0.0,0.0,2,2,2,1,1
PublicTest_16745237.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_16770619.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_17017376.jpg,0.0,0.0,0.0,3,3,3,1,1
PublicTest_17026620.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_17116818.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_17320024.jpg,0.0,0.0,0.0,0,0,0,1,1
PublicTest_17410266.jpg,0.0,0.0,0.0,0,0,0,1,1
